source_id,ra,dec,parallax,phot_g_mean_mag,bp_rp,pmra,pmdec,j_m,h_m,k_m,ph_qual
598961609226483456,132.01535577819666,11.622511457951907,3.6945580271518814,10.7412815,0.599967,-29.07465192569613,0.09051777224998647,16.057,15.344,15.32,BBU
598963876969204736,132.1044833694996,11.707543412924416,3.988549176820133,11.843637,0.84545517,5.750122725005592,2.22505221698817,13.423,12.777,12.616,AAA
598964117487368576,132.15306341052678,11.720440089796528,0.9147958990333547,13.988396,0.7208843,-0.3264341895368169,-8.950180983317884,14.251,13.882,13.744,AAA
598964942122246528,132.0465846879861,11.737940797188486,1.2081336656250676,13.410275,0.7139616,-12.9773336839296,-4.056641704705218,15.535,14.958,14.874,AAB
598965418861793280,132.1095743787169,11.767986677067848,1.510723544342024,12.738594,0.71945477,-1.08377451248979,-7.621718883789818,12.35,11.364,11.043,AAA
598965487581269376,132.08273725374946,11.780897750763394,0.8621076985393841,13.963865,0.79146767,2.636094426704048,-14.06960052684538,15.13,14.378,14.04,AAA
598965487581269504,132.081231851401,11.778062550683096,1.3505893774311006,12.925371,1.1156435,-7.013679646275351,-13.567582096657214,15.393,14.796,14.53,AAA
598965693739703424,131.94867076939198,11.678140230690303,0.9515656518112957,13.252398,0.715086,1.572861892494255,-0.07444172892481163,15.234,14.857,14.692,ABB
598966213431423488,131.96804535285182,11.711931530201056,2.0898732982170305,12.81342,0.83782196,-20.46223309919415,-3.1888959665818684,15.668,15.344,15.636,ABD
598969168368919040,131.96375856111305,11.797198220322606,2.0311050307752807,11.226116,0.616622,-9.160575869902194,-6.348579231931046,14.361,13.908,13.823,AAA
598969408887084288,132.0054835850431,11.807988783074455,0.696229980765197,13.963987,0.8776703,-4.291130709070937,-8.745112316018993,13.323,12.984,12.92,AAA
598969477606561792,131.9944072468673,11.814658956024594,1.7037146169822168,13.734478,0.9092159,-9.321755863489724,-16.920021827561364,15.083,14.254,13.953,AAA
598969718124729216,131.99809898547605,11.831692535530921,0.6750444826467084,13.931716,0.8029423,-0.6240206863273832,-2.7973485468031427,16.342,16.169,15.507,BCD
598970847700454144,132.19782959863775,11.795295424013597,0.8927635546122802,12.204188,1.0705156,-6.440033598555444,0.6324301375350145,15.868,15.095,14.4,UAA
598971195593467904,132.16026347043683,11.788255419034387,4.255123011759407,13.477284,1.2450838,-28.87485967943997,22.64697520012954,15.668,13.729,13.604,BUU
598971779709012352,132.2207992531538,11.826660064976078,1.139747089363532,11.536059,1.0498457,-5.071040651049634,-3.7842544235968334,14.985,14.429,14.224,AAA
598974799070364928,132.11110013240977,11.86200472499462,0.981563022832248,13.133862,0.7269106,-10.664830181324747,-2.986254891845687,13.243,12.728,12.522,AAA
598975005228795008,132.13799612936353,11.863266823393916,1.1579189132072614,13.176991,0.7314329,-10.831240707296205,-2.8747698980245353,16.076,14.666,14.065,BUU
598975593640168320,132.07201309431503,11.864175965559525,3.2432485813982526,10.680748,0.65376186,-22.92971036992035,0.16466953296389866,15.636,14.845,14.664,AAB
598976040316766976,132.11809466202973,11.891315810423507,1.6220136071470397,11.789179,0.55651855,3.333524731660467,-6.862695603180457,15.438,14.845,14.893,AAB
